StudySite,Latitude,Longitude,Longitude.UTM,Latitude.UTM,habitat.type,dominant.tree,height.cm,angle,detect.obscured,cover.ground,termite.count.100m,termite.count.50m,termite.large.count.100m,termite.large.count.50m,habitat.number,tree,termites,fire.interval,poaching.all,poaching.high,boundary.distance,road.distance,road.major.distance,urema.distance,pan.distance,river.distance,settlement.distance,tree.100m,tree.250m,tree.500m,tree.1km,termites.100m,termites.250m,termites.500m,termites.1km,fire2015.date,fire2016.date,fire2017.date,pans.100m,pans.250m,pans.500m,tree.hansen,lion.dry,lion.wet,panscon.250m,poaching,panscon.offflood.250
E02,-18.90468,34.39004,646396.0875,7909143.999,1_SW,AX_FA,1.742601075,-0.33423549,-0.623505966,1.994784412,-0.8599344,-0.967175791,-0.734763236,-0.806602832,-1.494940964,0.916651189,2.210397959,-2.005107164,-0.577477932,-0.417812735,0.499715,-0.933379889,-0.972065032,-0.507892311,-0.238955498,-1.236598372,1.035198569,-1.387075543,-1.652602673,-2.098265648,-2.193454981,-0.698175788,-0.922232628,-1.685157299,-1.914405346,NA,NA,NA,-0.251784295,-0.166555449,3.271636963,-1.194859982,1.260665655,1.870573521,-0.329289377,-0.544090748,-0.246277034
E04,-18.92648,34.39024,646398.1729,7906731.168,2_OW,AR,-0.660986615,0.636125609,-0.623505966,-0.134878661,0.971878523,2.446385824,1.05249869,2.601578149,-0.298988193,0.240818337,2.210397959,-0.98084569,-0.577477932,-0.417812735,-0.055319346,0.340364307,0.188576698,-0.233998761,0.912649155,-0.607344151,0.263620913,-0.826135159,-0.788067997,-0.837762594,-1.395109653,0.361005217,0.610143304,0.151309386,-0.326114982,NA,NA,NA,-0.251784295,-0.288821429,-0.194832027,-0.974033535,0.813105583,1.046891212,-0.329289377,-0.544090748,-0.246277034
E06,-18.94814,34.39065,646422.4683,7904333.652,2_OW,CA,0.54080723,1.283033008,1.577103326,0.058727073,0.055972062,-0.284463468,0.158867727,-0.124966636,-0.298988193,-1.037387371,-0.452407181,-0.250768423,-0.577477932,-0.417812735,-0.588388324,-0.334142685,-0.024616882,0.133249596,0.799862266,-0.012674448,-0.392490119,0.040919438,-0.255414128,-0.267546892,-0.434526473,-1.013338566,-0.974666715,-1.282382607,-0.761233628,-1.215515256,NA,NA,-0.251784295,-0.288821429,-0.316204369,-0.103458509,-0.082014456,-1.012314677,-0.329289377,-0.544090748,-0.246277034
E08,-18.97007,34.39047,646384.3728,7901906.739,3_CW,CA,-0.660986615,-0.981142889,-0.623505966,0.833150008,-0.8599344,-0.284463468,-0.734763236,-0.124966636,0.896964578,0.916651189,-0.452407181,1.967694402,1.731667876,2.393416882,-1.083676696,0.001618001,-0.272268057,0.550415874,0.536362469,0.044938423,-0.835109651,-0.459914476,-0.570001781,-0.728849113,-0.780393422,1.209520459,0.594835401,0.259755135,0.244609937,-1.231922507,-0.659534156,-0.650214314,-0.251784295,-0.288821429,-0.252237827,1.293796301,0.813105583,-0.188632309,-0.329289377,2.185194492,-0.246277034
E10,-18.99155,34.39053,646371.9214,7899529.423,2_OW,CA,0.54080723,-1.628050288,1.577103326,1.994784412,-0.8599344,-0.967175791,-0.734763236,-0.806602832,-0.298988193,0.916651189,-0.452407181,1.105356574,1.731667876,2.393416882,-1.488626003,-0.373382777,-0.552936554,0.960152924,-0.513157785,-0.756601393,-1.267964244,-1.296536446,-0.810481966,-0.506952345,-0.004681981,-0.506737411,-0.67079556,-0.760607481,-0.581345499,-1.233393431,-1.044659615,-0.634177864,-0.251784295,-0.282615215,-0.327372462,-0.367255479,-0.082014456,-0.188632309,-0.329289377,2.185194492,-0.246277034
E12,-19.01331,34.39089,646390.7826,7897120.864,4_F,mix,-0.060089692,-1.304596588,-0.623505966,1.994784412,-0.554632246,-0.967175791,-0.436886249,-0.806602832,2.092917349,0.916651189,-0.452407181,-0.036507186,1.731667876,2.393416882,-1.777126908,0.328100324,-0.02791314,1.404730916,-0.703488052,-1.327677608,-1.942342162,-0.006589759,0.035042852,-0.024722325,-0.289312273,-1.105295897,-0.455604821,-0.805177927,-1.339591384,0.368570983,-0.784061193,NA,0.031018673,-0.17892848,-0.019759659,1.543874621,-0.082014456,-1.012314677,-0.329289377,2.185194492,-0.246277034
F01,-18.89402,34.40934,648438.4484,7910307.681,1_SW,AX_FA,-1.261883537,1.929940408,-0.623505966,-0.715695863,0.055972062,0.398248855,0.158867727,0.55666956,-1.494940964,0.916651189,2.210397959,-0.92652607,-0.577477932,-0.417812735,0.932057858,0.104960047,-0.194921955,-1.038920283,-0.024624784,-0.892574847,1.791988015,-0.806351483,-0.954833746,-0.905887604,-1.308668137,0.054202288,-0.098596014,0.358247489,-0.335366577,NA,NA,NA,-0.251784295,-0.270766973,-0.24179092,-0.986367345,-1.424694538,2.282414675,-0.329289377,-0.544090748,-0.246277034
F03,-18.91463,34.40951,648438.1726,7908026.562,1_SW,AR,0.54080723,-0.981142889,-0.623505966,-0.715695863,1.887784985,0.398248855,1.946129653,0.55666956,-1.494940964,0.294689059,-0.452407181,-1.206129789,-0.577477932,-0.417812735,0.431149662,-0.573058963,-0.702383757,-0.783659756,-0.758556843,-0.195117429,1.112240672,-0.788182378,-0.554505408,-0.584692717,-0.84044981,0.335926026,0.863163948,1.113429666,0.881834328,NA,NA,NA,-0.220342234,-0.258918732,-0.301603317,-1.123414516,-0.529574454,1.840715051,-0.329289377,-0.544090748,-0.246277034
F05,-18.93785,34.40944,648410.2911,7905456.782,2_OW,AR,0.54080723,-0.981142889,-0.623505966,0.833150008,1.887784985,0.398248855,1.946129653,0.55666956,-0.298988193,0.916651189,-0.452407181,-0.322389305,1.731667876,-0.417812735,-0.10358496,0.148207381,-0.162553594,-0.35315609,-0.82927376,0.523492813,0.446960241,0.502603769,0.304170519,0.165728748,0.068181865,0.581702769,0.214600712,0.20309864,0.430171728,NA,NA,NA,-0.019274456,-0.175161809,-0.242025763,-0.749910295,-1.424694538,-1.012314677,-0.329289377,0.820551813,-0.246277034
F07,-18.95938,34.41,648450.222,7903073.504,1.5_SOW,AR,1.141704153,1.283033008,-0.623505966,-0.909301597,-0.249330092,0.398248855,-0.139009261,0.55666956,-0.896964578,-0.914953828,2.210397959,1.03001368,-0.577477932,-0.417812735,-0.529903352,-0.230208158,-0.445777833,0.033546016,-0.548793674,1.117723227,0.030804478,-0.603079379,-0.328432679,-0.321004301,-0.468893588,0.179598629,-0.102642842,0.162629679,0.265004545,-1.273067236,0.100153387,-0.722297966,-0.251784295,-0.134371191,-0.146858111,-1.576731324,0.813105583,-0.188632309,0.401278257,-0.544090748,0.978078246
