StudySite,Latitude,Longitude,Longitude.UTM,Latitude.UTM,habitat.type,dominant.tree,height.cm,angle,detect.obscured,cover.ground,termite.count.100m,termite.count.50m,termite.large.count.100m,termite.large.count.50m,habitat.number,tree,termites,fire.interval,poaching.all,poaching.high,boundary.distance,road.distance,road.major.distance,urema.distance,pan.distance,river.distance,settlement.distance,tree.100m,tree.250m,tree.500m,tree.1km,termites.100m,termites.250m,termites.500m,termites.1km,fire2015.date,fire2016.date,fire2017.date,pans.100m,pans.250m,pans.500m,tree.hansen,lion.dry,lion.wet,panscon.250m,poaching,panscon.offflood.250
J07,-18.95831,34.48913,656783.7834,7903123.421,2_OW,mix,0.54080723,0.636125609,-0.623505966,0.058727073,-0.554632246,-0.284463468,-0.734763236,-0.806602832,-0.298988193,0.916651189,-0.452407181,0.5175578,-0.577477932,-0.417812735,1.048355222,0.261787206,0.665836871,-0.751719773,-0.016518787,0.843718767,0.246673346,0.21047838,0.494842917,0.482651621,0.40076533,-1.252427578,-0.51965183,-0.507895887,-0.948277652,NA,NA,NA,-0.251784295,-0.259058803,-0.297561347,-0.144062743,0.813105583,-1.012314677,-0.329289377,-0.544090748,-0.246277034
J09,-18.97872,34.4887,656719.4201,7900864.884,2_OW,mix,-0.660986615,-0.657689189,1.577103326,1.994784412,-0.554632246,-0.967175791,-0.436886249,-0.806602832,-0.298988193,0.916651189,-0.452407181,-0.772217691,-0.577477932,-0.417812735,0.523954213,1.768930554,1.050472856,-0.30543837,2.975974798,1.211397171,0.637474537,0.463433921,0.134506881,0.478326976,0.713949084,-0.845307469,-0.434490472,0.158473581,0.245870724,NA,NA,NA,-0.251784295,-0.288821429,-0.333716959,0.725697756,0.813105583,-0.188632309,-0.329289377,-0.544090748,-0.246277034
J11,-19.00152,34.48963,656795.9875,7898340.612,3.5_CWF,mix,-1.261883537,-0.657689189,-0.623505966,-0.909301597,-0.8599344,-0.284463468,-0.734763236,-0.124966636,1.494940964,0.916651189,-0.452407181,-0.170777231,-0.577477932,-0.417812735,-0.030546959,0.002530204,-0.251486391,0.143441468,0.365363866,1.411839366,0.980722189,1.333721042,1.391937613,1.356185555,1.134878993,1.644227743,2.006683588,1.906455636,1.330617666,NA,NA,NA,-0.251784295,-0.288821429,-0.327546269,0.844650269,0.813105583,-0.600473464,-0.329289377,-0.544090748,-0.246277034
J13,-19.02231,34.489,656710.1784,7896040.187,2_OW,AR,-0.660986615,0.959579309,-0.623505966,-0.715695863,-0.249330092,-0.967175791,-0.139009261,-0.806602832,-0.298988193,-1.20389688,2.210397959,1.13074553,-0.577477932,-0.417812735,-0.525633097,-0.393182755,-0.064756028,0.610006571,1.074801803,1.149928212,0.228731126,-0.551417649,0.267360896,0.781397283,0.843955815,-0.708207488,-0.655487657,0.551459074,0.978883326,NA,NA,NA,-0.251784295,-0.288821429,-0.152648047,-0.073649459,-0.977134526,-1.012314677,-0.329289377,-0.544090748,-0.246277034
K04,-18.92375,34.50578,658569.743,7906933.543,1_SW,AX_FA,-1.261883537,-1.304596588,-0.623505966,0.445938541,-0.8599344,-0.967175791,-0.734763236,-0.806602832,-1.494940964,0.916651189,2.210397959,-0.930564702,-0.577477932,-0.417812735,1.946429133,-0.835676074,-0.898938894,-1.688376665,-0.786339104,-0.919546008,-0.473162025,-0.531712472,-0.703816414,-0.469228566,-0.435487986,0.409491837,0.167093381,0.520943344,0.264101446,NA,NA,NA,-0.112172,0.39188382,1.485355616,-0.87926203,-0.977134526,-1.012314677,1.773859978,-0.544090748,-0.246277034
K06,-18.94731,34.50857,658841.3202,7904323.474,3_CW,SF,-1.261883537,1.283033008,-0.623505966,-1.064186184,0.666576369,-0.284463468,-0.734763236,-0.806602832,0.896964578,0.916651189,2.210397959,1.085051179,1.731667876,-0.417812735,1.494195461,0.738067508,1.12444973,-1.209177852,0.920661747,-0.160781115,-0.61224246,0.641837597,0.615493178,0.684914052,0.907025099,-0.125532523,-0.710209072,-0.746498108,-0.337819964,1.423523188,NA,NA,-0.251784295,-0.288821429,-0.282296896,0.25884974,-0.977134526,1.870573521,-0.329289377,0.820551813,-0.246277034
K08,-18.9698,34.50842,658804.2283,7901834.466,2_OW,mix,-0.660986615,-0.01078179,1.577103326,0.833150008,-0.554632246,-0.967175791,-0.436886249,-0.806602832,-0.298988193,0.916651189,-0.452407181,0.251826584,-0.577477932,-0.417812735,0.945778966,-0.624018073,3.27956152,-0.775940955,0.341629773,0.108429,-0.206965834,0.498968691,0.580401301,0.646549106,0.676414311,-0.34288612,-0.293552041,-0.360840678,0.149315745,NA,NA,NA,-0.251784295,-0.288821429,-0.316972733,-0.990338027,-0.977134526,1.458732367,-0.329289377,-0.544090748,-0.246277034
K10,-18.9911,34.50899,658844.0496,7899476.51,3.5_CWF,mix,0.54080723,0.31267191,-0.623505966,-1.064186184,0.666576369,-0.284463468,0.754621702,-0.124966636,1.494940964,0.916651189,2.210397959,-0.050428674,-0.577477932,-0.417812735,0.454625607,-1.027269006,1.738614678,-0.308695525,0.800871253,0.604834437,0.392294705,1.073799849,0.909592569,0.796831667,0.680303156,2.383230209,2.108560324,1.425094604,1.739480495,NA,NA,NA,-0.251784295,-0.288821429,-0.326405913,1.618679643,0.813105583,-0.188632309,-0.329289377,-0.544090748,-0.246277034
K12,-19.01297,34.50941,658867.5015,7897055.597,3_CW,CA,-0.660986615,-0.981142889,-0.623505966,-0.909301597,0.055972062,-0.284463468,0.158867727,-0.124966636,0.896964578,-1.05207932,-0.452407181,-1.316386104,-0.577477932,-0.417812735,-0.022107514,-0.850021183,-0.909675419,0.203885481,0.673211932,0.333092421,1.025760412,1.52193296,1.574272871,1.467497706,1.139496565,-0.087077588,0.356242985,0.160114214,1.290833592,0.368570983,NA,NA,-0.251784295,-0.288821429,-0.321027935,0.193101391,0.813105583,-1.012314677,-0.329289377,-0.544090748,-0.246277034
L05,-18.93517,34.52907,661011.8661,7905648.523,1_SW,AX_FA,-0.660986615,-0.33423549,-0.623505966,0.833150008,-0.8599344,-0.967175791,-0.734763236,-0.806602832,-1.494940964,0.59832406,-0.452407181,0.057835959,1.731667876,2.393416882,2.013453484,-0.415609121,-0.584540725,-1.773953438,-0.84236306,-0.899425447,-1.461580157,-0.435940355,-0.262209535,0.290022731,0.36796996,-0.094601467,-0.210150242,1.073562384,0.763112843,NA,NA,NA,0.066292413,-0.103446938,-0.027048947,-0.419482499,-0.529574454,-1.012314677,0.575702131,2.185194492,-0.246277034
L07,-18.95881,34.52905,660987.0825,7903032.102,2_OW,HY,2.343497997,-3.245318786,-0.623505966,-0.522090129,0.055972062,1.080961178,-0.734763236,-0.806602832,-0.298988193,0.916651189,2.210397959,0.524485171,-0.577477932,-0.417812735,1.460961819,1.382486701,0.761239886,-1.245056391,0.887888253,-1.086515069,-1.120495319,0.822171509,1.226055741,1.30534184,1.214000344,0.878474116,1.153134584,1.458672762,1.474112153,NA,NA,NA,-0.251784295,-0.288821429,-0.322920322,-1.640282869,-0.977134526,2.967594862,-0.329289377,-0.544090748,-0.246277034
L09,-18.97978,34.52872,660932.1973,7900711.471,3_CW,CA,-1.261883537,-0.657689189,1.577103326,-0.715695863,0.666576369,1.763673501,-0.734763236,-0.806602832,0.896964578,0.916651189,2.210397959,0.830007613,-0.577477932,-0.417812735,0.985485375,1.309558392,0.742930233,-0.731789231,0.950674534,-0.554599404,-0.431093156,0.653892457,1.139584184,1.15598774,1.105362058,0.531544268,0.853662431,0.945374489,1.01968956,1.300294161,NA,1.092660666,-0.251784295,-0.288821429,-0.309866399,-0.584992051,-1.424694538,1.046891212,-0.329289377,-0.544090748,-0.246277034
L11,-19.00148,34.52897,660937.6591,7898309.509,3_CW,CA,0.54080723,-0.01078179,1.577103326,-0.909301597,1.277180677,0.398248855,1.350375678,0.55666956,0.896964578,0.916651189,-0.452407181,0.667953253,-0.577477932,-0.417812735,0.538739026,-0.960638225,-0.992466509,-0.193331212,-0.718334854,-0.4762851,0.37637943,1.522107124,1.49866271,1.320962429,1.278355956,-0.33619839,1.103691816,0.8426162,1.402620435,1.169617534,NA,1.139577985,-0.082874596,-0.256238788,-0.127520397,1.018328786,-1.424694538,-0.188632309,-0.329289377,-0.544090748,-0.246277034
L13,-19.02311,34.5293,660951.5797,7895915.216,3.5_CWF,CA,-1.261883537,-1.628050288,-0.623505966,-0.909301597,0.666576369,-0.967175791,0.754621702,-0.806602832,1.494940964,0.916651189,-0.452407181,-0.468853503,-0.577477932,-0.417812735,0.097653911,-0.278294295,0.874728978,0.348034799,0.319229394,-0.643193185,1.22127676,1.47535944,1.574071646,1.495335102,1.640188217,-0.714895248,-1.030092001,-0.808131099,-0.265766054,NA,NA,1.183944941,-0.251784295,-0.288821429,-0.285090208,1.383550525,-0.977134526,-1.012314677,-0.329289377,-0.544090748,-0.246277034
M08,-18.96881,34.54853,663028.7186,7901907.404,2_OW,CA,0.54080723,0.959579309,-0.623505966,-0.328484395,-0.8599344,-0.967175791,-0.734763236,-0.806602832,-0.298988193,0.916651189,-0.452407181,0.258621722,-0.577477932,-0.417812735,1.527557611,-0.795846522,-0.869128525,-1.031293869,-0.181978941,-1.664428353,-1.131146312,1.186462164,1.133749008,1.200649261,1.121694326,1.151002169,0.505451262,1.35755527,1.291038036,NA,2.404960155,NA,-0.251784295,0.248931646,0.685824931,0.141107321,1.708225608,1.428462029,-0.329289377,-0.544090748,-0.246277034
M10,-18.99093,34.54668,662812.4137,7899460.883,2_OW,HY,-0.660986615,1.283033008,-0.623505966,-0.522090129,0.055972062,-0.284463468,0.158867727,-0.124966636,-0.298988193,0.916651189,2.210397959,1.007461548,-0.577477932,-0.417812735,1.039414525,0.123094991,-0.181348816,-0.478839666,-0.086401217,-1.01013279,-0.218835384,0.993064642,0.647079825,0.544120848,0.834209681,0.564147353,-0.226689801,-0.652654111,0.322184235,1.43792367,NA,1.202288032,-0.251784295,-0.174601838,0.179240763,-0.634511471,-0.529574454,1.046891212,0.118845776,-0.544090748,0.504750848
